Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
7;224;5,41023E+17;15;-0,105910197;-0,409808824;-0,250072744;-0,222642208;0,235672876;0,001219622;-0,240839984;-0,282690064;-0,33562895;0,588616798;-0,014379474;0,269608703;-0,242146471;-0,353237237;-0,390550891;-0,301290646;0,106556509;-0,085235296;-0,259545887;-0,357981438;-0,198878558;0,436210409;-0,045906673;0,176038235;-0,342826392;-0,55810793;-0,018379234;0,578362663;0,011406991;-0,14177483;-0,015314112;-0,355371916;-0,099500361;0,916454049;0,981291988;0,601534702;-0,307440551;-0,280100603;-0,345789186;-0,191192569;-569656556
7;62;5,41023E+17;11;0,329662749;0,120529348;-0,185316164;0,056125953;-0,08757276;-0,030085227;-0,410427542;-0,064544763;0,307027556;0,552086798;-0,214396035;-0,171495777;0,085007998;-0,069114647;-0,341803405;-0,249946899;0,248439403;-0,108276869;-0,381439605;-0,304527227;0,173120437;-0,06282479;-0,199409228;-0,254850372;-0,297442406;0,325242677;-0,198486613;0,366304232;0,106045425;0,555306785;0,802905294;-0,347079929;0,182592527;-0,238318514;-0,173337151;0,000962889;-0,303586551;-0,275928439;-0,34032846;-0,251574972;-19150513
7;49;5,41023E+17;11;0,411676694;-0,260315298;0,264650492;0,618348928;-0,407149307;-0,347583558;-0,626013258;0,46023989;-0,308314265;-0,282925375;-0,184976941;-0,187376828;0,009867975;-0,299812905;-0,306388146;0,25839657;0,087553258;-0,379782183;-0,561727524;0,649382063;-0,216942585;-0,209952874;-0,313401086;-0,175968668;-0,186843683;-0,697589179;0,729084914;1,745927719;0,797996455;0,35657048;-0,461030779;0,079073996;0,77030346;-0,224174694;-0,1626491;0,067760897;-0,33738911;-0,287612613;0,101285795;-0,299281676;212837249
7;57;5,41023E+17;21;0,238216613;0,369793329;0,517349143;-0,097519857;-0,141312918;0,388389806;0,348513493;-0,378337764;-0,010045841;0,58563175;0,318950589;0,135189693;0,05968957;0,089217152;0,174119736;-0,475284332;-0,094964391;0,236176156;0,058990038;-0,42888298;0,385552365;0,603817957;0,385325613;0,278452051;-0,329259928;-0,013731234;0,408199045;2,140302181;0,155589253;-0,32911876;-0,452970834;-0,222436852;0,806645684;-0,248464318;-0,171020968;-0,213774845;-0,3007086;-0,2680461;-0,214995475;0,68588959;354646635
7;71;5,41023E+17;11;-0,135171052;0,165794022;-0,214699782;-0,133311456;-0,389254109;0,203108354;-0,338591018;0,153582168;-0,308196343;-0,290498335;-0,05507652;-0,025157967;-0,062554343;-0,303854422;-0,304493406;-0,200982382;-0,024163198;0,271730105;-0,011196847;0,232920439;-0,211423239;-0,204811443;-0,302299588;-0,056776028;-0,480623913;-0,190370239;0,199952769;2,015540775;-0,007034349;0,395004083;-0,136687335;0,043513093;0,146332457;-0,227749707;-0,186646869;0,180768664;-0,329386681;-0,298126863;0,077573115;0,02895818;-243976659
7;189;5,41023E+17;21;0,278584127;-0,082664947;-0,456107441;-0,2940446;-0,227063636;-0,082248626;0,199082779;-0,145361623;0,558625077;0,581508519;-0,390863393;0,017149394;0,389587794;0,082304989;-0,278986326;-0,105518822;-0,363260019;-0,31414092;-0,278074759;-0,163894937;0,053802868;0,458169711;-0,28092024;-0,336059983;-0,287952005;-0,019039783;0,014423437;0,816694057;0,064372639;-0,176614257;0,108854904;-0,362477168;-0,150754013;-0,21880875;-0,18330242;0,0055852;-0,324601223;-0,290500678;-0,3557257;-0,141528133;-113405257
7;201;7,41361E+16;17;0,426391491;0,228395827;-0,298472081;-0,16167014;-0,25719559;0,035942715;-0,409512502;-0,150014001;0,453958191;0,081672571;0,033792691;0,14489595;0,442564609;0,341479993;0,285880617;0,792878065;-0,384328999;-0,156587693;-0,231776354;-0,09523782;0,133059807;-0,140892761;0,088310722;-0,494876962;-0,514427648;0,359668804;0,300747727;0,018181093;-0,438716798;0,574716948;-0,044866511;0,299424205;-0,045957336;-0,255370648;-0,157100104;0,249793788;-0,273411429;-0,2681012;0,312283048;-0,51842387;-123760373
7;63;7,01197E+16;18;-0,581185911;-0,47235686;0,022628894;-0,044624467;-0,446381922;-0,221403727;-0,792328982;0,133684009;-0,379283536;-0,538149708;0,07284947;-0,010225214;-0,596586553;-0,47371141;0,19494657;0,372103255;-0,406292659;-0,098922022;-0,676925318;-0,194066037;-0,060569472;-0,55547632;0,029129069;-0,04545037;-0,157017381;-0,060800978;0,379029148;-0,472647962;-0,453072604;-0,497768475;-0,304393249;-0,346611975;-0,045758499;-0,227749707;-0,186646869;1,290863115;-0,329386681;-0,298126863;-0,341800213;-0,567567947;-1414394096
7;197;5,4129E+16;15;-0,162658442;-0,449243069;-0,211523067;-0,379303778;-0,450663539;-0,414144832;-0,22550639;0,263575001;-0,377420748;-0,393442473;-0,109902363;-0,127062995;0,210280784;0,199686133;-0,528004537;0,103846408;-0,406347682;-0,16158545;-0,082818188;0,714095139;-0,272323076;-0,276863018;-0,297449026;-0,292903315;-0,080009858;0,017481716;-0,775136182;1,01734388;-0,542401876;1,660512598;0,532819601;0,226421621;0,172330509;0,055093666;-0,182740149;-0,222693093;-0,307014173;-0,278342102;0,238546705;-0,32984109;-194852673
7;238;5,4129E+16;11;-0,206596482;-0,074760567;0,235520213;0,457103782;-0,129476187;-0,068955125;-0,208556834;0,183710496;-0,181058079;-0,010896077;-0,316721583;-0,355692105;-0,375076611;-0,312817495;-0,12044397;-0,1653104;-0,10910055;-0,14052828;-0,527255837;-0,033098842;-0,130062693;-0,33252496;-0,313071566;-0,312700309;0,391930831;-0,066126147;-0,041476818;1,561159147;0,247698796;0,384342447;0,936795497;0,308098177;0,031047212;-0,120308934;-0,184973815;0,074744559;-0,275693057;-0,276884051;0,355009819;-0,066286524;349727167
