Cluster;beer;beer_id;beer_type;A_malt_grain;A_malt_bread;A_malt_cara;A_malt_burn;A_hops_citrus;A_hops_tropical;A_hops_noble;A_hops_woody;A_esters_ethac;A_esters_isoaa;A_esters_flower;A_esters_fruity;F_malt_grain;F_malt_bread;F_malt_cara;F_malt_burn;F_hops_citrus;F_hops_tropical;F_hops_noble;F_hops_woody;F_esters_ethac;F_esters_isoaa;F_esters_flower;F_esters_fruity;acidity;bitternes;sweetness;X4vg;diacetyl;dms;metallic;stale_hops;t2n;orange;coriander;clove;lactic;acetic;barnyard;co2;overall
5;127;54138278;Blond;-0,093586587;-0,180138119;-0,51757187;-0,155682745;0,594214636;0,097516928;0,178344723;0,25701408;0,393345356;0,069990926;-0,058375936;-0,13122632;-0,005783391;-0,291709391;-0,318479638;-0,296657214;-0,098687412;-0,21834254;0,306912793;-0,033440983;0,409848774;-0,017759669;-0,159823368;-0,083190736;0,061711963;0,190036251;0,02042481;0,093532117;-0,504686517;0,441132593;0,528620283;0,045682529;-0,047800115;-0,20415053;0,044600295;-0,137088517;-0,310701333;-0,279127672;-0,18853446;0,625808194;-122015734
5;70;54085190;Blond;-0,48589713;-0,348289602;-0,535808444;-0,26606059;1,419141944;0,517168664;0,773965603;-0,315404113;-0,242508105;0,125918882;0,146942692;0,222666896;0,399234124;-0,306526174;-0,301117529;-0,349787947;1,037886902;0,011289776;-0,3283465;-0,188878202;-0,05292818;-0,343846003;0,130860152;-0,365331621;-0,04027357;0,222095788;-0,325043628;0,020781121;-0,451719563;-0,363022294;-0,066877926;-0,069359029;0,622325997;-0,079784212;-0,173337151;-0,220920701;-0,303586551;-0,275928439;-0,055830944;-0,327161272;-113106943
7;77;8,71141E+17;Blond;0,343619234;-0,379361766;0,021151334;-0,285338047;-0,38950414;-0,410507223;-0,156868177;0,114012869;-0,812840267;-0,336121216;-0,291019495;-0,094233953;0,188435706;-0,494797888;0,127668776;-0,290908826;0,098996194;0,001415029;-0,167393381;-0,183219788;-0,439232818;-0,318138217;-0,016720119;-0,208634329;-0,530308542;-0,465362239;-0,579107266;0,100402641;1,363543199;0,395239421;-0,420608641;0,53091735;0,339174617;-0,248464318;-0,171020968;-0,213774845;-0,3007086;-0,2680461;0,537790364;-0,980762776;628235409
7;35;8,71141E+17;Blond;-0,39883282;-0,40140643;-0,185172839;-0,271850258;-0,312120905;-0,221947273;-0,02829979;-0,143416839;0,217866221;0,987246049;-0,305091651;0,503487123;-0,563114826;-0,413173465;-0,363246053;-0,258959931;-0,145725621;0,128180077;-0,459891577;-0,171738068;-0,039265206;0,554438252;-0,302299588;0,239887581;-0,24550012;-0,545990749;0,1697239;-0,214738209;0,337873623;0,042376771;-0,111693561;-0,250482413;-0,312982686;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,235921232;-0,008781663;1081221116
7;113;5,42501E+17;Blond;0,823430063;0,260862779;-0,312549265;-0,324250193;0,269300076;-0,219584732;-0,290645448;0,171411515;0,350126035;0,016547774;0,406485061;0,403008443;0,594418395;-0,186991731;-0,378833217;-0,131885617;0,775385374;-0,311761191;-0,425360982;-0,244710746;-0,185965179;-0,401518276;0,437058249;-0,049942807;-0,420340414;0,28611708;0,167437234;-0,251152915;-0,010635778;-0,094878778;0,799018673;-0,347079929;0,129665773;-0,238318514;0,053208172;-0,220920701;-0,303586551;-0,275928439;-0,34032846;0,1164245;-364246669
7;164;5,42501E+17;Blond;-0,307489569;-0,170594726;-0,453922272;-0,271850258;-0,278800891;0,133436566;0,158618123;-0,278312821;-0,241490198;-0,245247653;-0,408510714;-0,061546739;-0,558708066;-0,246505502;-0,494199328;-0,258959931;-0,26004955;-0,127163175;0,342901542;-0,310444688;-0,035294218;0,091116833;-0,302299588;-0,187928126;-0,480623913;0,043342729;-0,228843404;-0,044021556;-0,300623369;0,771060127;0,890981822;-0,14313921;0,286438167;-0,227749707;-0,186646869;-0,22386688;-0,329386681;-0,298126863;-0,138327448;0,210189322;-579226829
7;121;5,41424E+17;Blond;0,210304366;0,013782999;-0,330825016;-0,323294684;0,28412212;-0,406090481;-0,413380363;-0,160302169;0,398121255;0,43549612;-0,311842108;-0,22970884;0,051083581;-0,29121656;-0,352433396;-0,049758624;0,416902029;-0,379782183;-0,326577133;-0,112071206;-0,172201242;0,260352721;-0,313401086;-0,083268918;0,059362406;0,150860794;-0,336421715;0,310921827;-0,432035856;-0,237188289;0,143593989;-0,350830672;-0,252437186;-0,224174694;-0,1626491;-0,206146241;-0,33738911;-0,287612613;-0,345117891;-0,590858448;290682302
7;76;5,41258E+17;Blond;-0,014359842;-0,241045855;-0,219980975;-0,292356223;0,326890046;-0,080568011;-0,256846591;-0,324294813;-0,097326775;-0,046397094;-0,27544585;-0,426074673;-0,32466888;0,229861986;-0,234424519;-0,144663902;-0,227810565;-0,266322705;-0,32971913;0,16108712;0,291496713;-0,332878507;-0,055423472;-0,349581005;0,588228508;0,288955557;-0,211456792;1,831101474;-0,144193381;-0,239374453;0,525996874;-0,356219049;0,070732652;-0,234353571;-0,037936578;1,013731211;-0,331197156;-0,277935224;-0,350926111;0,030865527;-58113414
7;46;5,41128E+17;Blond;-0,312845235;-0,294115496;-0,420657924;0,002637126;-0,388501173;-0,468577713;-0,565597952;-0,251659252;-0,316702329;-0,418519296;-0,490758699;-0,224932995;-0,670211471;-0,507870591;-0,476419162;-0,390497911;-0,128501465;-0,139170235;-0,558020033;-0,29657961;0,056647809;-0,108197389;-0,368389945;-0,246094278;1,563592364;-1,076434735;0,767065896;-0,037514185;1,761367523;1,252575568;0,54566857;1,0643283;0,42258373;-0,234353571;-0,197774146;-0,223162394;-0,331197156;0,591176036;1,101794323;-0,303181049;598305567
7;64;5,41091E+17;Blond;-0,22116022;-0,084574857;-0,038500432;-0,198485051;1,180354775;0,075600659;-0,768510188;-0,324294813;0,586024054;0,408460985;0,738488037;-0,091199013;-0,49076731;-0,426304489;-0,319911776;-0,208439206;0,491860197;-0,321237165;-0,651136048;0,08847848;-0,082715707;-0,306159737;0,79662795;-0,301901188;0,549756308;-0,168061459;-0,214825336;-0,105523388;-0,091914665;-0,462164201;1,038846772;-0,356219049;-0,470473557;1,346384221;1,200823623;-0,223162394;-0,331197156;-0,277935224;-0,350926111;-0,307312788;338239978
